ID,Url,Price,Name,Manufacturer,Image,Image_Url,Compatibility,Cooling_Potential,Fan_RPM,Noise_Level,Dimensions
67,https://www.jimms.fi/fi/Product/Show/128615/sst-nt08-115xp/silverstone-nitrogon-series-nt08-115xp-prosessorijaahdytin,18.9,Nitrogon series nt08-115xp,SilverStone,COOLER_161428-ig800gg.jpg,https://ic.jimms.fi/product/2/1/161428-ig800gg.jpg,Intel lga 115x / 1200,65w,1200 ~ 3400 rpm,"16,5 ~ 28,98 dba",Tuulettimen kanssa: 101 x 33 x 101 mm
68,https://www.jimms.fi/fi/Product/Show/144868/84000000140/alpenfohn-brocken-3-prosessorijaahdytin,47.9,Brocken 3,Alpenföhn,COOLER_215992-ig800gg.jpg,https://ic.jimms.fi/product/9/7/215992-ig800gg.jpg,"Intel lga 2066, 2011(-v3), 1366, 1200, 115x, 775",220w tdp,400 - 1050 rpm,22 db(a),146 x 125 x 165 mm
69,https://www.jimms.fi/fi/Product/Show/148487/acfre00060a/arctic-freezer-34-esports-duo-black-red-prosessorijaahdytin,49.9,Freezer 34 esports duo - black/red,ARCTIC,COOLER_230815-ig800gg.jpg,https://ic.jimms.fi/product/1/4/230815-ig800gg.jpg,"Intel: lga 115x / 1200 / 1700 / 2066* / 2011(-3)* (*ainoastaan square ilm, 80x80mm); amd: am5, am4",Maks. 210w,: 2 x 120mm: 200 ~ 2100 rpm (pwm-hallittu),0.5 sone,Lxkxs: 124 x 157 x 103 mm (tuulettimien kanssa)
70,https://www.jimms.fi/fi/Product/Show/158432/cnps20x/zalman-cnps20x-prosessorijaahdytin,89.9,Cnps20x,Zalman,COOLER_271877-ig800gg.jpg,https://ic.jimms.fi/product/7/2/271877-ig800gg.jpg,Intel : lga 2066 / 2011-v3 / 2011 / 1200 / 115x cpus; amd : am4 / am3+ / am3 cpus,300w,800 ~ 1500 rpm +/- 10%,29.0 db(a) +/- 10%,Jäähdytin: 140 x 170 x 165 (k) mm
71,https://www.jimms.fi/fi/Product/Show/185990/ey3a009/endorfy-fortis-5-dual-fan-prosessorijaahdytin,62.9,Fortis 5 dual fan,Endorfy,COOLER_407375-ig800gg.jpg,https://ic.jimms.fi/product/7/4/407375-ig800gg.jpg,"Lga1700, lga1200, lga1150, lga1151, lga1155, lga1156, lga775, lga2066, lga2011-3, lga2011 (square ilm); amd: am5, am4, am3(+), am2(+), fm2(+), fm1",220 w,250 (+/- 100) - 1400 (+/- 10 %) rpm,,159 x 144 x 131 mm
72,https://www.jimms.fi/fi/Product/Show/165753/actc-cl30420-01/aerocool-cylon-4f-argb-prosessorijaahdytin-musta,32.9,Cylon 4f,Aerocool,COOLER_302434-ig800gg.jpg,https://ic.jimms.fi/product/3/5/302434-ig800gg.jpg,Lga 2066 / 2011 / 1200 / 115x / 775; amd: am4 / am3(+) / am2(+) / fm2 / fm1,145w,800 - 1800 rpm,14 ~ 26 dba,"126,5 x 76 x 160 mm"
73,https://www.jimms.fi/fi/Product/Show/155064/cr-c7g/cryorig-c7-g-prosessorijaahdytin,74.9,C7 g,Cryorig,COOLER_257560-ig800gg.jpg,https://ic.jimms.fi/product/6/9/257560-ig800gg.jpg,115x /  1200; amd: fm1 / fm2(+) / am2(+) / am3(+) / am4,125w,600 ~ 2500 rpm +/- 10%,30 dba,97 x 97 x 47 mm
74,https://www.jimms.fi/fi/Product/Show/190510/84000000205/alpenfohn-brocken-4-prosessorijaahdytin-musta,69.9,Brocken 4,Alpenföhn,COOLER_430168-ig800gg.jpg,https://ic.jimms.fi/product/6/1/430168-ig800gg.jpg,"Amd am5, am4; intel 1700, 1200, 115x, 20xx",,400 - 1600 rpm,"22,8 db(a)",127 x 119 x 155 mm
75,https://www.jimms.fi/fi/Product/Show/144879/84000000119/alpenfohn-ben-nevis-rev-b-prosessorijaahdytin,26.9,Ben nevis rev. b,Alpenföhn,COOLER_216062-ig800gg.jpg,https://ic.jimms.fi/product/6/7/216062-ig800gg.jpg,"Intel lga 1200, 115x; amd am4, am3(+), am2(+), fm1: nyt myös",140w tdp,400 - 1600 rpm,"8 - 20,2 db(a)",120 x 73 x 140 mm
76,https://www.jimms.fi/fi/Product/Show/140446/0r100009/raijintek-aidos-black-prosessorijaahdytin,22.9,Aidos black,Raijintek,COOLER_198358-ig800gg.jpg,https://ic.jimms.fi/product/5/1/198358-ig800gg.jpg,Intel lga 2066 / 201x / 1366 / 115x / 1200 /  775 amd am4 / am3(+) / am2(+) / fm2(+) / fm1,,1000 ~ 2200 rpm (pwm-hallittu),"28,87 dba (maks.)",95 x 55 x 136 mm
