ID,Url,Price,Name,Manufacturer,Image,Image_Url,Cores,Core_Clock,Memory,Interface,Dimensions,TDP
140,https://www.jimms.fi/fi/Product/Show/193262/100-300000075/amd-radeon-pro-w7800-naytonohjain-32gb-gddr6,3035.9,Radeon pro w7800,AMD,GPU_445118-ig800gg.jpg,https://ic.jimms.fi/product/1/1/445118-ig800gg.jpg,4480,,32 gb gddr6,"Pci express 4.0 ready (x16), 3.0 taaksepäin yhteensopiva","279,4 x 98,4 x 34,3 mm / full height, double-slot",650 w
141,https://www.jimms.fi/fi/Product/Show/195845/100-300000077/amd-radeon-pro-w7600-naytonohjain-8gb-gddr6,772.9,Radeon pro w7600,AMD,GPU_460026-ig800gg.jpg,https://ic.jimms.fi/product/2/3/460026-ig800gg.jpg,,,8 gb,Pcie 4.0 x8,241 mm,130 w peak
142,https://www.jimms.fi/fi/Product/Show/193182/rx-7600-mech-2x-classic-8g-oc/msi-radeon-rx-7600-mech-2x-classic-oc-naytonohjain-8gb-gddr6,343.9,Radeon rx 7600 mech 2x classic oc,MSI,GPU_445453-ig800gg.jpg,https://ic.jimms.fi/product/5/6/445453-ig800gg.jpg,2048,2695 mhz,8gb gddr6,Pci express gen 4,235 x 125 x 47 mm,Tbd w
143,https://www.jimms.fi/fi/Product/Show/182310/dual-rx6650xt-o8g/asus-radeon-rx-6650-xt-dual-oc-edition-naytonohjain-8gb-gddr6,299.9,Radeon rx 6650 xt dual - oc edition,Asus,GPU_387910-ig800gg.jpg,https://ic.jimms.fi/product/1/9/387910-ig800gg.jpg,2048,2689 mhz (boost clock) /  2467 mhz (game clock),8gb gddr6,Pcie 4.0,243 x 134 x 49 mm / 2.5 slot,650w
144,https://www.jimms.fi/fi/Product/Show/195079/rx7700xt-12gb-e-oc/powercolor-radeon-rx-7700-xt-red-devil-naytonohjain-12gb-gddr6,579.9,Radeon rx 7700 xt red devil,PowerColor,GPU_457694-ig800gg.jpg,https://ic.jimms.fi/product/9/5/457694-ig800gg.jpg,3456,2599 mhz (oc) / 2584 mhz (silent),12gb gddr6,Pcie 4.0,332 x 135 x 52 mm / 345 x 151 x 52 mm (bracketin kanssa) / 2.5 slot,800w
145,https://www.jimms.fi/fi/Product/Show/188293/gv-n4090aorusx-w-24gd/gigabyte-geforce-rtx-4090-xtreme-waterforce-naytonohjain-24gb-gddr6x,2249.9,Geforce rtx 4090 xtreme waterforce,Gigabyte,GPU_419653-ig800gg.jpg,https://ic.jimms.fi/product/5/6/419653-ig800gg.jpg,16384,2565 mhz,24gb gddr6x,Pci-e 4.0,238 x 141 x 40 mm,1000w
146,https://www.jimms.fi/fi/Product/Show/186228/tuf-rtx4080-o16g-gaming/asus-geforce-rtx-4080-tuf-gaming-oc-edition-naytonohjain-16gb-gddr6x,1469.9,Geforce rtx 4080 tuf gaming - oc edition,Asus,GPU_408863-ig800gg.jpg,https://ic.jimms.fi/product/6/6/408863-ig800gg.jpg,9728,2625 mhz (boost clock),16gb gddr6x,Pcie 4.0,"348,2 x 150 x 72,6 mm / 3,65 slot",750w
147,https://www.jimms.fi/fi/Product/Show/194760/rtx-4070-gaming-x-slim-12g/msi-geforce-rtx-4070-gaming-x-slim-naytonohjain-12gb-gddr6x,789.9,Geforce rtx 4070 gaming x slim,MSI,GPU_455922-ig800gg.jpg,https://ic.jimms.fi/product/2/7/455922-ig800gg.jpg,5888,2610 mhz,12gb gddr6x,Pcie 4.0,307 x 125 x 46 mm,650w
148,https://www.jimms.fi/fi/Product/Show/195794/vcnrtx5000ada-pb/pny-nvidia-rtx-5000-ada-generation-naytonohjain-32gb-gddr6,6414,Nvidia rtx 5000 ada generation,PNY,GPU_459848-ig800gg.jpg,https://ic.jimms.fi/product/4/1/459848-ig800gg.jpg,"12,800",,,,,
149,https://www.jimms.fi/fi/Product/Show/196910/rtx-4060-ti-gaming-x-slim-8g/msi-geforce-rtx-4060-ti-gaming-x-slim-naytonohjain-8gb-gddr6,569.9,Geforce rtx 4060 ti gaming x slim,MSI,GPU_466464-ig800gg.jpg,https://ic.jimms.fi/product/6/5/466464-ig800gg.jpg,4352,2670 mhz,8gb gddr6,Pci express gen 4 x 8,307 x 125 x 46 mm,750w
