ID,Url,Price,Name,Manufacturer,Image,Image_Url,Chipset,Form_Factor,Memory_Compatibility
366,https://www.jimms.fi/fi/Product/Show/185795/z790-pro-rs/asrock-z790-pro-rs-atx-emolevy,239.9,Z790 pro rs,ASRock,MOBO_405984-ig800gg.jpg,https://ic.jimms.fi/product/8/5/405984-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
367,https://www.jimms.fi/fi/Product/Show/188671/rog-strix-b760-f-gaming-wifi/asus-rog-strix-b760-f-gaming-wifi-atx-emolevy,282.9,Rog strix b760-f gaming wifi,Asus,MOBO_421782-ig800gg.jpg,https://ic.jimms.fi/product/8/7/421782-ig800gg.jpg,Intel b760,"Atx (30,5 x 24,4 cm)",4 x ddr5 maks. 128gb
368,https://www.jimms.fi/fi/Product/Show/196063/tuf-gaming-z790-pro-wifi/asus-tuf-gaming-z790-pro-wifi-atx-emolevy,435.9,Tuf gaming z790-pro wifi,Asus,MOBO_465483-ig800gg.jpg,https://ic.jimms.fi/product/8/6/465483-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 192gb
369,https://www.jimms.fi/fi/Product/Show/197102/prime-h510m-e-r2-0/asus-prime-h510m-e-r2-0-matx-emolevy,103.9,Prime h510m-e r2.0,Asus,MOBO_467732-ig800gg.jpg,https://ic.jimms.fi/product/3/7/467732-ig800gg.jpg,Intel h510,"Matx (22,6 x 21,1 cm)",2 x ddr4 maks. 64gb
370,https://www.jimms.fi/fi/Product/Show/196983/b760-aorus-elite/gigabyte-b760-aorus-elite-atx-emolevy,238.9,B760 aorus elite,Gigabyte,MOBO_466926-ig800gg.jpg,https://ic.jimms.fi/product/2/3/466926-ig800gg.jpg,Intel b760,"Atx (30,5 x 24,4 cm)",4 x ddr5 maks. 192gb
371,https://www.jimms.fi/fi/Product/Show/189485/b760m-hdv-m-2-d4/asrock-b760m-hdv-m-2-d4-matx-emolevy,122.9,B760m-hdv/m.2 d4,ASRock,MOBO_424834-ig800gg.jpg,https://ic.jimms.fi/product/3/5/424834-ig800gg.jpg,Intel b760,"Micro atx (24,4 x 20,1 cm)",2 x ddr4 maks. 64gb
372,https://www.jimms.fi/fi/Product/Show/188672/rog-strix-b760-a-gam-wifi-d4/asus-rog-strix-b760-a-gaming-wifi-d4-atx-emolevy,285.9,Rog strix b760-a gaming wifi d4,Asus,MOBO_421785-ig800gg.jpg,https://ic.jimms.fi/product/8/4/421785-ig800gg.jpg,Intel b760,"Atx (30,5 x 24,4 cm)",4 x ddr4 maks. 128gb
373,https://www.jimms.fi/fi/Product/Show/179015/b660m-steel-legend/asrock-b660m-steel-legend-matx-emolevy,172.9,B660m steel legend,ASRock,MOBO_370318-ig800gg.jpg,https://ic.jimms.fi/product/1/1/370318-ig800gg.jpg,Intel b660,"Micro atx (24,4 x 24,4 cm)",4 x ddr4 dimm maks. 128gb
374,https://www.jimms.fi/fi/Product/Show/178998/h610m-s2h-ddr4/gigabyte-h610m-s2h-ddr4-matx-emolevy,103.9,H610m s2h ddr4,Gigabyte,MOBO_370255-ig800gg.jpg,https://ic.jimms.fi/product/5/4/370255-ig800gg.jpg,Intel h610,"Micro atx (23,0 x 21,5 cm)",2 x ddr4 dimm maks. 64gb
375,https://www.jimms.fi/fi/Product/Show/185535/prime-b650-plus/asus-prime-b650-plus-atx-emolevy,212.9,Prime b650-plus,Asus,MOBO_406877-ig800gg.jpg,https://ic.jimms.fi/product/7/2/406877-ig800gg.jpg,Amd b650,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
376,https://www.jimms.fi/fi/Product/Show/191875/tuf-gaming-a620m-plus-wifi/asus-tuf-gaming-a620m-plus-wifi-matx-emolevy,178.9,Tuf gaming a620m-plus wifi,Asus,MOBO_438719-ig800gg.jpg,https://ic.jimms.fi/product/1/0/438719-ig800gg.jpg,Amd a620,"Micro-atx (24,4 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
377,https://www.jimms.fi/fi/Product/Show/188706/mag-b760m-mortar-wifi/msi-mag-b760m-mortar-wifi-matx-emolevy,243.9,Mag b760m mortar wifi,MSI,MOBO_421696-ig800gg.jpg,https://ic.jimms.fi/product/9/3/421696-ig800gg.jpg,Intel b760,"Matx (243,84 x 243,84 mm)",4 x ddr5 maks. 128gb
378,https://www.jimms.fi/fi/Product/Show/185010/x670e-pro-rs/asrock-x670e-pro-rs-atx-emolevy,344.9,X670e pro rs,ASRock,MOBO_405040-ig800gg.jpg,https://ic.jimms.fi/product/4/9/405040-ig800gg.jpg,Amd x670,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
379,https://www.jimms.fi/fi/Product/Show/185799/z790-pg-lightning/asrock-z790-pg-lightning-atx-emolevy,230.9,Z790 pg lightning,ASRock,MOBO_405994-ig800gg.jpg,https://ic.jimms.fi/product/9/5/405994-ig800gg.jpg,Intel z790,"Atx (30,5 x 24,4 cm)",4 x ddr5 dimm maks. 128gb
380,https://www.jimms.fi/fi/Product/Show/178149/prime-b660m-k-d4/asus-prime-b660m-k-d4-matx-emolevy,132.9,Prime b660m-k d4,Asus,MOBO_370077-ig800gg.jpg,https://ic.jimms.fi/product/7/2/370077-ig800gg.jpg,Intel b660,"Matx (24,4 x 21,1 cm)",2 x ddr4 maks. 64gb
381,https://www.jimms.fi/fi/Product/Show/188061/b760m-g-x-ax-ddr4/gigabyte-b760m-gaming-x-ax-ddr4-matx-emolevy,170.9,B760m gaming x ax ddr4,Gigabyte,MOBO_421926-ig800gg.jpg,https://ic.jimms.fi/product/2/3/421926-ig800gg.jpg,Intel b760,"Micro atx (24,4 x 24,4 cm)",4 x ddr4 maks. 128gb
382,https://www.jimms.fi/fi/Product/Show/195348/pro-a620m-c-csm/asus-pro-a620m-c-csm-matx-emolevy,141,Pro a620m-c-csm,Asus,MOBO_457411-ig800gg.jpg,https://ic.jimms.fi/product/1/8/457411-ig800gg.jpg,Amd a620,"Matx (24,4 x 22,4 cm)",2 x ddr5 dimm maks. 96gb
383,https://www.jimms.fi/fi/Product/Show/183082/n5-z69xt-b1/nzxt-n5-z690-atx-emolevy-musta,249,N5 z690,NZXT,MOBO_392244-ig800gg.jpg,https://ic.jimms.fi/product/4/5/392244-ig800gg.jpg,Intel® z690,Atx (305 x 244 mm),4 x dimm slots max. 128gb dual-channel ddr4 memory
384,https://www.jimms.fi/fi/Product/Show/187618/9mw34sp0mr-00/gigabyte-mw34-sp0-atx-emolevy,571.9,Mw34-sp0,Gigabyte,MOBO_416430-ig800gg.jpg,https://ic.jimms.fi/product/3/9/416430-ig800gg.jpg,Intel® w680,Atx,4 x dimm slots
