ID,Url,Price,Name,Manufacturer,Image,Image_Url,Type,Amount,Speed,Latency
1370,https://www.jimms.fi/fi/Product/Show/191048/kf560c40bwak2-64/kingston-64gb-2-x-32gb-fury-beast-white-rgb-ddr5-6000mhz-cl40-1-35v-valkoinen,291.9,64gb (2 x 32gb) fury beast white rgb,Kingston,RAM_432936-ig800gg.jpg,https://ic.jimms.fi/product/3/3/432936-ig800gg.jpg,Ddr5,64gb (2 x 32gb),6000 mt/s,Cl40
1371,https://www.jimms.fi/fi/Product/Show/80529/cmv8gx3m2a1600c11/corsair-8gb-2-x-4gb-ddr3-1600mhz-cl11,54.9,8gb (2 x 4gb),Corsair,RAM_79031-ig800gg.jpg,https://ic.jimms.fi/product/3/8/79031-ig800gg.jpg,Ddr3,,,
1372,https://www.jimms.fi/fi/Product/Show/182603/ksm26rs8-8hdi/kingston-8gb-1-x-8gb-server-premier-ddr4-2666mhz-ecc-rdimm-cl19-1-20v,37.9,8gb (1 x 8gb) server premier,Kingston,RAM_389431-ig800gg.jpg,https://ic.jimms.fi/product/3/8/389431-ig800gg.jpg,Ddr4 sdram,8 gb,2666 mhz (pc4-21300),
1373,https://www.jimms.fi/fi/Product/Show/193249/cmk96gx5m2b6400c32/corsair-96gb-2-x-48gb-vengeance-ddr5-6400mhz-cl32-1-40v-musta-harmaa,440.9,96gb (2 x 48gb) vengeance,Corsair,RAM_445071-ig800gg.jpg,https://ic.jimms.fi/product/7/8/445071-ig800gg.jpg,Ddr5,96gb (2 x 48gb),Ddr5-6400,32-40-40-84
1374,https://www.jimms.fi/fi/Product/Show/173931/kf442c19rb1k2-32/kingston-32gb-2-x-16gb-fury-renegade-ddr4-4266mhz-cl19-1-40v-musta,156.9,32gb (2 x 16gb) fury renegade,Kingston,RAM_344195-ig800gg.jpg,https://ic.jimms.fi/product/9/4/344195-ig800gg.jpg,Ddr4,32gb (2 x 16gb),4266mhz,Cl19 (19-26-26)
1375,https://www.jimms.fi/fi/Product/Show/172508/f4-4000c15q-32gvk/g-skill-32gb-4-x-8gb-ripjaws-v-ddr4-4000mhz-cl15-1-50v-musta,269.9,32gb (4 x 8gb) ripjaws v,G.Skill,RAM_337248-ig800gg.jpg,https://ic.jimms.fi/product/4/1/337248-ig800gg.jpg,Ddr4,32gb (4 x 8gb),4000 mhz,15-16-16-36
1376,https://www.jimms.fi/fi/Product/Show/167687/f4-4133c19d-16gtzkwc/g-skill-16gb-2-x-8gb-trident-z-ddr4-4133mhz-cl19-1-35v-musta-valkoinen,120.9,16gb (2 x 8gb) trident z,G.Skill,RAM_312201-ig800gg.jpg,https://ic.jimms.fi/product/0/8/312201-ig800gg.jpg,Ddr4,16gb (2 x 8gb),4133 mhz,19-19-19-39
1377,https://www.jimms.fi/fi/Product/Show/196462/kf440c19rb12-16/kingston-16gb-1-x-16gb-fury-renegade-ddr4-4000mhz-cl19-1-35v-musta-harmaa,71.9,16gb (1 x 16gb) fury renegade ddr4,Kingston,RAM_463885-ig800gg.jpg,https://ic.jimms.fi/product/8/4/463885-ig800gg.jpg,Ddr4,16gb (1 x 16gb),4000 mt/s,19-23-23
1378,https://www.jimms.fi/fi/Product/Show/174685/cmg16gx4m2d3600c18/corsair-16gb-2-x-8gb-vengeance-rgb-rs-ddr4-3600mhz-cl18-1-35v-musta,67.9,16gb (2 x 8gb) vengeance rgb rs,Corsair,RAM_347993-ig800gg.jpg,https://ic.jimms.fi/product/9/6/347993-ig800gg.jpg,Ddr4,16gb (2 x 8gb),3600mhz (pc4-28800),
1379,https://www.jimms.fi/fi/Product/Show/177133/f5-5600u3636c16gx2-tz5s/g-skill-32gb-2-x-16gb-trident-z5-ddr5-5600mhz-cl36-1-20v-hopea-musta,357.9,32gb (2 x 16gb) trident z5,G.Skill,RAM_360955-ig800gg.jpg,https://ic.jimms.fi/product/5/4/360955-ig800gg.jpg,Ddr5,32gb (2 x 16gb),5600mhz,36-36-36-76
1380,https://www.jimms.fi/fi/Product/Show/172497/f4-3600c14q2-64gvkb/g-skill-64gb-8-x-8gb-ripjaws-v-ddr4-3600mhz-cl14-1-45v-musta,502.9,64gb (8 x 8gb) ripjaws v,G.Skill,RAM_337232-ig800gg.jpg,https://ic.jimms.fi/product/3/7/337232-ig800gg.jpg,Ddr4,64gb (8 x 8gb),3600 mhz,14-15-15-35
1381,https://www.jimms.fi/fi/Product/Show/164442/f4-3600c16q-32gtzkk/g-skill-32gb-4-x-8gb-trident-z-ddr4-3600mhz-cl16-1-35v-musta,235.9,32gb (4 x 8gb) trident z,G.Skill,RAM_295718-ig800gg.jpg,https://ic.jimms.fi/product/1/1/295718-ig800gg.jpg,Ddr4,32gb (4 x 8gb),3600 mhz,16-16-16-36
1382,https://www.jimms.fi/fi/Product/Show/188961/kf552c36bbeak2-16/kingston-16gb-2-x-8gb-fury-beast-ddr5-rgb-5200mhz-cl36-1-25v-musta,95.9,16gb (2 x 8gb) fury beast ddr5 rgb,Kingston,RAM_423193-ig800gg.jpg,https://ic.jimms.fi/product/9/6/423193-ig800gg.jpg,Ddr5,16gb (2 x 8gb),5200 mt/s,Cl36
1383,https://www.jimms.fi/fi/Product/Show/174688/cmg16gx4m2e3200c16/corsair-16gb-2-x-8gb-vengeance-rgb-rs-ddr4-3200mhz-cl16-1-35v-musta,63.9,16gb (2 x 8gb) vengeance rgb rs,Corsair,RAM_348004-ig800gg.jpg,https://ic.jimms.fi/product/0/5/348004-ig800gg.jpg,Ddr4,16gb (2 x 8gb),3200mhz (pc4-25600),
1384,https://www.jimms.fi/fi/Product/Show/179679/f5-6000j4040f16gx2-tz5rk/g-skill-32gb-2-x-16gb-trident-z5-rgb-ddr5-6000mhz-cl40-1-35v-musta,156.9,32gb (2 x 16gb) trident z5 rgb,G.Skill,RAM_373395-ig800gg.jpg,https://ic.jimms.fi/product/9/4/373395-ig800gg.jpg,Ddr5,32gb (2 x 16gb),6000mhz,40-40-40-96
1385,https://www.jimms.fi/fi/Product/Show/167686/f4-4000c19d-32gtzsw/g-skill-32gb-2-x-16gb-trident-z-ddr4-4000mhz-cl19-1-35v-harmaa-valkoinen,244.9,32gb (2 x 16gb) trident z,G.Skill,RAM_312200-ig800gg.jpg,https://ic.jimms.fi/product/0/9/312200-ig800gg.jpg,Ddr4,32gb (2 x 16gb),4000 mhz,19-19-19-39
1386,https://www.jimms.fi/fi/Product/Show/182528/kf560c40bba-8/kingston-8gb-1-x-8gb-fury-beast-ddr5-rgb-ddr5-6000mhz-cl40-1-35v-musta,57.9,8gb (1 x 8gb) fury beast ddr5 rgb,Kingston,RAM_388902-ig800gg.jpg,https://ic.jimms.fi/product/0/7/388902-ig800gg.jpg,Ddr5,8gb (1 x 8gb),6000 mt/s,Cl40
1387,https://www.jimms.fi/fi/Product/Show/167697/f4-4400c16d-16gvk/g-skill-16gb-2-x-8gb-ripjaws-v-ddr4-4400mhz-cl16-1-50v-musta,139.9,16gb (2 x 8gb) ripjaws v,G.Skill,RAM_312211-ig800gg.jpg,https://ic.jimms.fi/product/1/8/312211-ig800gg.jpg,Ddr4,16gb (2 x 8gb),4400 mhz,16-19-19-39
1388,https://www.jimms.fi/fi/Product/Show/191045/kf560c40bwa-16/kingston-16gb-1-x-16gb-fury-beast-white-rgb-ddr5-6000mhz-cl40-1-35v-valkoinen,88.9,16gb (1 x 16gb) fury beast white rgb,Kingston,RAM_432926-ig800gg.jpg,https://ic.jimms.fi/product/2/3/432926-ig800gg.jpg,Ddr5,16gb (1 x 16gb),6000 mt/s,Cl40
1389,https://www.jimms.fi/fi/Product/Show/152242/f4-3600c18d-16gtzrx/g-skill-16gb-2-x-8gb-trident-z-rgb-for-amd-ddr4-3600mhz-cl18-1-35v-musta,75.9,16gb (2 x 8gb) trident z rgb (for amd),G.Skill,RAM_246356-ig800gg.jpg,https://ic.jimms.fi/product/5/3/246356-ig800gg.jpg,Ddr4,16gb (2 x 8gb),3600 mhz,18-22-22-42
1390,https://www.jimms.fi/fi/Product/Show/153111/cmk64gx4m2d3000c16/corsair-64gb-2-x-32gb-vengeance-lpx-ddr4-3000mhz-cl16-1-35v-musta,152.9,64gb (2 x 32gb) vengeance lpx,Corsair,RAM_249805-ig800gg.jpg,https://ic.jimms.fi/product/0/4/249805-ig800gg.jpg,288-pin ddr4 dimm,64gb (2 x 32gb),3000 mhz,16-20-20-38
1391,https://www.jimms.fi/fi/Product/Show/179653/cmk32gx4m2d3600c16/corsair-32gb-2-x-16gb-vengeance-lpx-ddr4-3600mhz-cl16-1-35v-musta,101.9,32gb (2 x 16gb) vengeance lpx,Corsair,RAM_373305-ig800gg.jpg,https://ic.jimms.fi/product/0/4/373305-ig800gg.jpg,Ddr4 dimm 288-pin,32gb (2 x 16gb),3600 mhz (pc4-28800),16-19-19-36
1392,https://www.jimms.fi/fi/Product/Show/181095/kvr48u40bd8-32/kingston-32gb-1-x-32gb-valueram-ddr5-4800mhz-cl40-1-10v,121.9,32gb (1 x 32gb) valueram,Kingston,RAM_380736-ig800gg.jpg,https://ic.jimms.fi/product/3/3/380736-ig800gg.jpg,Ddr5 sdram,32 gb,4800 mhz (pc5-38400),
1393,https://www.jimms.fi/fi/Product/Show/80763/f3-12800cl10d-16gbxl/g-skill-16gb-2-x-8gb-ripjawsx-ddr3-1600mhz-cl10-1-5v,53.9,16gb (2 x 8gb) ripjawsx,G.Skill,RAM_79283-ig800gg.jpg,https://ic.jimms.fi/product/8/6/79283-ig800gg.jpg,Ddr3,F3-12800cl10d-16gbxl,,
1394,https://www.jimms.fi/fi/Product/Show/149166/cmt32gx4m2c3200c16/corsair-32gb-2-x-16gb-dominator-platinum-rgb-ddr4-3200mhz-cl16-1-35v-musta,131.9,32gb (2 x 16gb) dominator platinum rgb,Corsair,RAM_232349-ig800gg.jpg,https://ic.jimms.fi/product/4/0/232349-ig800gg.jpg,Ddr4,32gb (2 x 16gb),3200 mhz (pc4-25600),16-18-18-36
1395,https://www.jimms.fi/fi/Product/Show/99418/cmso16gx3m2c1600c11/corsair-16gb-2-x-8gb-ddr3-1600mhz-sodimm-1-35v,89.9,16gb (2 x 8gb),Corsair,RAM_105482-ig800gg.jpg,https://ic.jimms.fi/product/8/7/105482-ig800gg.jpg,Ddr3,,1600 mhz,
1396,https://www.jimms.fi/fi/Product/Show/196338/f5-6400j3239g32gx2-rs5k/g-skill-64gb-2-x-32gb-ripjaws-s5-ddr5-6400mhz-cl32-1-40v-musta,296.9,64gb (2 x 32gb) ripjaws s5,G.Skill,RAM_463250-ig800gg.jpg,https://ic.jimms.fi/product/5/9/463250-ig800gg.jpg,Ddr5,64gb (2 x 32gb),6400 mt/s,32-39-39-102
1397,https://www.jimms.fi/fi/Product/Show/184415/mta36asf4g72pz-3g2r/crucial-32gb-1-x-32gb-ddr4-3200mhz-ecc-cl22-1-20v,89.9,32gb (1 x 32gb) ddr4 3200mhz,Crucial,RAM_399019-ig800gg.jpg,https://ic.jimms.fi/product/1/0/399019-ig800gg.jpg,Ddr4 ecc,32gb,Ddr4-3200 (pc4-25600),22 (22-22-22)
1398,https://www.jimms.fi/fi/Product/Show/184847/kf556c36bbek2-32/kingston-32gb-2-x-16gb-fury-beast-ddr5-5600mhz-cl36-1-25v-musta,134.9,32gb (2 x 16gb) fury beast ddr5,Kingston,RAM_402876-ig800gg.jpg,https://ic.jimms.fi/product/7/3/402876-ig800gg.jpg,Ddr5,32gb (2 x 16gb),5600 mt/s,Cl36
1399,https://www.jimms.fi/fi/Product/Show/173858/kf432c16bbak2-16/kingston-16gb-2-x-8gb-fury-beast-rgb-ddr4-3200mhz-cl16-1-35v-musta,65.9,16gb (2 x 8gb) fury beast rgb,Kingston,RAM_343988-ig800gg.jpg,https://ic.jimms.fi/product/8/1/343988-ig800gg.jpg,Ddr4,16gb (2 x 8gb),3200mhz,Cl16 (16-18-18)
1400,https://www.jimms.fi/fi/Product/Show/164276/kvr32s22s8-8/kingston-8gb-1-x-8gb-valueram-ddr4-3200mhz-so-dimm-cl22-1-20v,27.9,8gb (1 x 8gb) valueram,Kingston,RAM_295179-ig800gg.jpg,https://ic.jimms.fi/product/7/0/295179-ig800gg.jpg,Ddr4 sdram,8 gb,3200 mhz (pc4-25600),
