ID,Url,Price,Name,Manufacturer,Image,Image_Url,Chassis_type,Dimensions,Color,Compatibility
335,https://www.jimms.fi/fi/Product/Show/178854/stronghold-prime/kolink-stronghold-prime-ikkunallinen-tornikotelo-musta,109.9,Stronghold prime,Kolink,CHASSIS_376179-ig800gg.jpg,https://ic.jimms.fi/product/7/0/376179-ig800gg.jpg,Atx full-tornikotelot,451 x 231 x 488 mm,Musta,"Eatx, atx, micro-atx, mini-itx"
336,https://www.jimms.fi/fi/Product/Show/182961/accs-pv32033-21/aerocool-trinity-mini-white-v2-ikkunallinen-matx-kotelo-valkoinen,69.9,Trinity mini white v2,Aerocool,CHASSIS_391806-ig800gg.jpg,https://ic.jimms.fi/product/0/3/391806-ig800gg.jpg,Minitorni,"206,5 x 385 x 353,4 mm",Valkoinen,Micro atx / mini-itx
337,https://www.jimms.fi/fi/Product/Show/183327/fd-c-por1x-06/fractal-design-pop-xl-air-rgb-black-tg-clear-tint-ikkunallinen-tornikotelo-musta,130.9,Pop xl air rgb black - tg clear tint,Fractal Design,CHASSIS_437421-ig800gg.jpg,https://ic.jimms.fi/product/2/8/437421-ig800gg.jpg,Atx full-tornikotelot,522 x 230 x 520 mm,,E-atx maks. 280 mm / atx / matx / mini itx
338,https://www.jimms.fi/fi/Product/Show/190865/x3-mesh-wh/montech-x3-mesh-ikkunallinen-miditornikotelo-valkoinen,59.9,X3 mesh,Montech,CHASSIS_432132-ig800gg.jpg,https://ic.jimms.fi/product/3/7/432132-ig800gg.jpg,Atx midi- ja mini-tornikotelot,370 x 210 x 480 mm,Valkoinen,Atx / micro atx / mini itx
339,https://www.jimms.fi/fi/Product/Show/183354/fd-c-por1m-06/fractal-design-pop-mini-air-rgb-black-tg-clear-tint-matx-kotelo-musta,119.9,Pop mini air rgb black - tg clear tint,Fractal Design,CHASSIS_437412-ig800gg.jpg,https://ic.jimms.fi/product/1/7/437412-ig800gg.jpg,Matx,432 x 215 x 393 mm,,Matx / mini itx
340,https://www.jimms.fi/fi/Product/Show/132621/fd-ca-def-mini-c-bk-tg/fractal-design-define-mini-c-tg-ikkunallinen-matx-kotelo-musta,129.9,Define mini c tg,Fractal Design,CHASSIS_172733-ig800gg.jpg,https://ic.jimms.fi/product/3/6/172733-ig800gg.jpg,Matx,,Musta,
341,https://www.jimms.fi/fi/Product/Show/183366/fd-c-por1a-03/fractal-design-pop-air-rgb-magenta-core-tg-clear-tint-ikkunallinen-tornikotelo-musta-magenta,106.9,Pop air rgb magenta core - tg clear tint,Fractal Design,CHASSIS_437413-ig800gg.jpg,https://ic.jimms.fi/product/1/6/437413-ig800gg.jpg,Atx midi- ja mini-tornikotelot,"473,5 x 215 x 454 mm",,Atx / matx / mini itx
342,https://www.jimms.fi/fi/Product/Show/197137/cc-h61fw-01/nzxt-h6-flow-ikkunallinen-miditornikotelo-valkoinen,129.9,H6 flow,NZXT,CHASSIS_467970-ig800gg.jpg,https://ic.jimms.fi/product/7/9/467970-ig800gg.jpg,Miditorni,,,"Atx, micro-atx, mini-itx"
343,https://www.jimms.fi/fi/Product/Show/110400/sst-sg13b-q/silverstone-sst-sg13b-q-musta,62.9,Sst-sg13b-q,SilverStone,CHASSIS_119189-ig800gg.jpg,https://ic.jimms.fi/product/8/0/119189-ig800gg.jpg,Mini-itx/mini-stx,"222 x 181 x 285mm, 2,43kg",Musta,"Mini-itx, mini-dtx"
344,https://www.jimms.fi/fi/Product/Show/164905/tr03-g-black/jonsbo-tr03-g-black-ikkunallinen-atx-kotelo-musta,289,Tr03-g black,Jonsbo,CHASSIS_298477-ig800gg.jpg,https://ic.jimms.fi/product/7/2/298477-ig800gg.jpg,Atx midi- ja mini-tornikotelot,238 x 673 x 595 mm,,Itx / m-atx / atx
345,https://www.jimms.fi/fi/Product/Show/176886/sst-rm22-312/silverstone-rm22-312-rakkiasennettava-kotelo-2u-musta-harmaa,419,Rm22-312,SilverStone,CHASSIS_359440-ig800gg.jpg,https://ic.jimms.fi/product/4/9/359440-ig800gg.jpg,2u,,,"Ssi-eeb, ssi-ceb, extended atx, atx, micro-atx, mini-itx"
346,https://www.jimms.fi/fi/Product/Show/151710/st-db4b/streacom-db4-tuulettimeton-mini-itx-kotelo-musta,299,Db4,Streacom,CHASSIS_244115-ig800gg.jpg,https://ic.jimms.fi/product/1/4/244115-ig800gg.jpg,Slim loading -tyyppinen optinen asema mahdollista asentaa optical kitin avulla,"Ensiluokkainen (6063) alumiini, 4mm paksut paneelit",Musta - hiekkapuhallettu viimeistely,Mini-itx
347,https://www.jimms.fi/fi/Product/Show/166936/sst-fab1b-pro/silverstone-fara-b1-pro-ikkunallinen-miditornikotelo-musta,89.9,Fara b1 pro,SilverStone,CHASSIS_308544-ig800gg.jpg,https://ic.jimms.fi/product/4/5/308544-ig800gg.jpg,Atx midi- ja mini-tornikotelot,207 x 446 x 401 mm,,"Atx, micro-atx, mini-itx"
348,https://www.jimms.fi/fi/Product/Show/170108/0r20b00206/raijintek-silenos-ms-ikkunallinen-miditornikotelo-valkoinen-musta,68.9,Silenos ms,Raijintek,CHASSIS_324099-ig800gg.jpg,https://ic.jimms.fi/product/9/0/324099-ig800gg.jpg,Atx midi- ja mini-tornikotelot,270 x 465 x 500 mm,Valkoinen,"Atx, m-atx, mini-itx"
349,https://www.jimms.fi/fi/Product/Show/176883/sst-rm21-304/silverstone-rm21-304-rakkiasennettava-matx-kotelo-2u-musta-harmaa,389,Rm21-304,SilverStone,CHASSIS_359370-ig800gg.jpg,https://ic.jimms.fi/product/7/9/359370-ig800gg.jpg,2u,,,"Micro atx, mini-itx"
350,https://www.jimms.fi/fi/Product/Show/176673/sst-vt04b/silverstone-vital-4-kompakti-intel-nuc-element-h-kotelo-musta,449,Vital 4,SilverStone,CHASSIS_358215-ig800gg.jpg,https://ic.jimms.fi/product/1/4/358215-ig800gg.jpg,Nuc,,,Intel® nuc 9 extreme compute element
351,https://www.jimms.fi/fi/Product/Show/160030/fd-c-def7a-05/fractal-design-define-7-black-white-tg-clear-tint-ikkunallinen-miditornikotelo-musta-valkoinen,207.9,Define 7 black/white - tg clear tint,Fractal Design,CHASSIS_273710-ig800gg.jpg,https://ic.jimms.fi/product/1/9/273710-ig800gg.jpg,Atx midi- ja mini-tornikotelot,547 x 240 x 475 mm,,E-atx (maks. 285mm) / atx / matx / mitx
352,https://www.jimms.fi/fi/Product/Show/187928/air-100-argb-wh/montech-air-100-argb-ikkunallinen-matx-kotelo-all-white,79.9,Air 100 argb,Montech,CHASSIS_418258-ig800gg.jpg,https://ic.jimms.fi/product/5/1/418258-ig800gg.jpg,Matx,405 x 210 x 425 mm,All white,Micro-atx / mini itx
353,https://www.jimms.fi/fi/Product/Show/183362/fd-c-poa1a-03/fractal-design-pop-air-white-tg-clear-tint-ikkunallinen-tornikotelo-valkoinen,95.9,Pop air white - tg clear tint,Fractal Design,CHASSIS_437373-ig800gg.jpg,https://ic.jimms.fi/product/7/6/437373-ig800gg.jpg,Atx midi- ja mini-tornikotelot,"473,5 x 215 x 454 mm",,Atx / matx / mini itx
354,https://www.jimms.fi/fi/Product/Show/195491/a-nuc93-m1b/akasa-newton-cws-compact-silent-evolution-for-intelr-nuc-12-13-pro-core-i3,122.9,Newton cws - compact silent evolution for intel® nuc 12/13 pro core i3,Akasa,CHASSIS_458363-ig800gg.jpg,https://ic.jimms.fi/product/6/6/458363-ig800gg.jpg,Nuc,168.60 x 113.20 x 55.5mm (w x d x h),,"Ucff 4"" x 4"""
355,https://www.jimms.fi/fi/Product/Show/195486/a-nuc70-m1b/akasa-pascal-ctn-compact-1-7l-ip65-waterproof-fanless-case-for-intel-nuc-11-pro-core-i3-tiger-canyon,799.9,Pascal ctn - compact 1.7l ip65 waterproof fanless case for intel nuc 11 pro core i3 (tiger canyon),Akasa,CHASSIS_458338-ig800gg.jpg,https://ic.jimms.fi/product/3/1/458338-ig800gg.jpg,Nuc,150 x 215.3 x 54mm (w x d x h),,"Ucff 4"" x 4"""
356,https://www.jimms.fi/fi/Product/Show/168886/u4plus-silver/jonsbo-u4-plus-silver-ikkunallinen-miditornikotelo-hopea,89.9,U4 plus silver,Jonsbo,CHASSIS_318385-ig800gg.jpg,https://ic.jimms.fi/product/8/4/318385-ig800gg.jpg,Atx midi- ja mini-tornikotelot,205 x 395 x 391 mm,Hopea,Itx / m-atx / atx
357,https://www.jimms.fi/fi/Product/Show/165567/v8-grey/jonsbo-v8-grey-mini-itx-kotelo-harmaa,132.9,V8 grey,Jonsbo,CHASSIS_301553-ig800gg.jpg,https://ic.jimms.fi/product/5/6/301553-ig800gg.jpg,Mini-itx/mini-stx,"249,5 x 390 x 260 mm",Harmaa,Itx / dtx
358,https://www.jimms.fi/fi/Product/Show/170583/accm-pb23013-11/aerocool-cronus-ikkunallinen-miditornikotelo-musta,89.9,Cronus,Aerocool,CHASSIS_326374-ig800gg.jpg,https://ic.jimms.fi/product/7/5/326374-ig800gg.jpg,Miditorni,230 x 502 x 468 mm,Musta,E-atx / atx / micro atx / mini-itx
359,https://www.jimms.fi/fi/Product/Show/195121/unity-lateral-argb/kolink-unity-lateral-argb-ikkunallinen-miditornikotelo-musta,89.9,Unity lateral argb,Kolink,CHASSIS_456027-ig800gg.jpg,https://ic.jimms.fi/product/2/2/456027-ig800gg.jpg,Atx midi- ja mini-tornikotelot,455 x 230 x 510 mm,Musta,Mini-itx / micro-atx / atx / e-atx
360,https://www.jimms.fi/fi/Product/Show/187380/a-nuc83-m1b/akasa-newton-cac-intel-nuc-11gen-atlas-canyon-fanless-case,97.9,Newton cac,Akasa,CHASSIS_414952-ig800gg.jpg,https://ic.jimms.fi/product/5/7/414952-ig800gg.jpg,Nuc,178.6 x 117 x 44.5mm (w x d x h),,"Ucff 4"" x 4"""
361,https://www.jimms.fi/fi/Product/Show/167809/bg040/be-quiet-silent-base-802-tornikotelo-valkoinen,207.9,Silent base 802 -tornikotelo,be quiet!,CHASSIS_312791-ig800gg.jpg,https://ic.jimms.fi/product/9/8/312791-ig800gg.jpg,Atx midi- ja mini-tornikotelot,539 x 245 x 507 mm,Valkoinen,Atx ps/2 (ei sisälly)
