ID,Url,Price,Name,Manufacturer,Image,Image_Url,Core_Count,Thread_Count,Base_Clock,Cache,Socket,Cpu_Cooler,TDP,Integrated_GPU
29,https://www.jimms.fi/fi/Product/Show/187553/100-000000797/amd-epyc-9634-sp5-2-25-ghz-84-core-tray,9152.9,Epyc 9634,AMD,CPU_416104-ig800gg.jpg,https://ic.jimms.fi/product/0/5/416104-ig800gg.jpg,84,168,2.25 ghz,384 mb,Sp5,,290 w,
30,https://www.jimms.fi/fi/Product/Show/192030/cd8068904691401/intel-xeon-w-3375-lga4189-2-50ghz-57mb-tray,6669.9,Xeon w-3375,Intel,CPU_439490-ig800gg.jpg,https://ic.jimms.fi/product/9/9/439490-ig800gg.jpg,38,76,2.5 ghz,57 mt,Lga4189,,270 w,
31,https://www.jimms.fi/fi/Product/Show/187569/100-000000796/amd-epyc-9174f-sp5-4-10-ghz-16-core-tray,4657.9,Epyc 9174f,AMD,CPU_416156-ig800gg.jpg,https://ic.jimms.fi/product/5/3/416156-ig800gg.jpg,16,32,4.1 ghz,256 mb,Sp5,,320 w,
32,https://www.jimms.fi/fi/Product/Show/141232/bx806734116/intel-xeon-silver-4116-lga3647-2-1ghz-16-5-mb-boxed,1216.9,Xeon silver 4116,Intel,CPU_201470-ig800gg.jpg,https://ic.jimms.fi/product/7/9/201470-ig800gg.jpg,12,24,2.10 ghz,16.5 mb,Lga3647,,85w,
33,https://www.jimms.fi/fi/Product/Show/166056/100-100000065box/amd-ryzen-5-5600x-am4-3-7-ghz-6-core-boxed,179.9,Ryzen 5 5600x,AMD,CPU_303968-ig800gg.jpg,https://ic.jimms.fi/product/6/1/303968-ig800gg.jpg,6,12,3.7 ghz,L2 cache: 3mb,Am4,Wraith stealth,65w,
34,https://www.jimms.fi/fi/Product/Show/176049/bx8071512700kf/intel-core-i7-12700kf-lga1700-3-60-ghz-25mb-boxed,341.9,Core i7-12700kf,Intel,CPU_356335-ig800gg.jpg,https://ic.jimms.fi/product/3/4/356335-ig800gg.jpg,12 (8p + 4e),20,3.60 ghz (base),25mb,Lga1700,,125w,
35,https://www.jimms.fi/fi/Product/Show/169823/bx8070110105/intel-core-i3-10105-lga1200-3-70-ghz-6mb-boxed,132.9,Core i3-10105,Intel,CPU_332826-ig800gg.jpg,https://ic.jimms.fi/product/2/3/332826-ig800gg.jpg,4,8,3.70 ghz (base),6mb,Lga1200,,65w,Intel® uhd graphics 630
36,https://www.jimms.fi/fi/Product/Show/180899/100-100000644box/amd-ryzen-5-4500-am4-3-6-ghz-6-core-boxed,84.9,Ryzen 5 4500,AMD,CPU_383490-ig800gg.jpg,https://ic.jimms.fi/product/9/9/383490-ig800gg.jpg,6,12,3.6 ghz,8mb,Am4,Amd wraith stealth,65w,
37,https://www.jimms.fi/fi/Product/Show/154669/bx806738160/intel-xeon-platinum-8160-lga3647-2-10-ghz-33mb-boxed,5603.9,Xeon platinum 8160,Intel,CPU_255867-ig800gg.jpg,https://ic.jimms.fi/product/6/2/255867-ig800gg.jpg,24,48,2.10 ghz,33 mb,Lga3647,,150w,
38,https://www.jimms.fi/fi/Product/Show/161255/bx8070110400/intel-core-i5-10400-lga1200-2-90-ghz-12mb-boxed,170.9,Core i5-10400,Intel,CPU_286765-ig800gg.jpg,https://ic.jimms.fi/product/6/4/286765-ig800gg.jpg,6,12,2.90 ghz,12mb,Lga1200,,65w,Intel® uhd graphics 630
